V2Codes,Description
da7b.,VAXALIN XL 75mg m/r capsules
da7c.,VAXALIN XL 150mg m/r capsules
da7d.,ALVENTA XL 75mg m/r capsules
da7e.,ALVENTA XL 150mg m/r capsules
da7f.,RANFAXINE XL 150mg m/r capsules
da7g.,RANFAXINE XL 75mg m/r capsules
da7h.,BONILUX XL 75mg m/r capsules
da7i.,BONILUX XL 150mg m/r capsules
da7j.,TONPULAR XL 75mg m/r capsules
da7k.,TONPULAR XL 150mg m/r capsules
da7l.,FORAVEN XL 75mg m/r capsules
da7m.,FORAVEN XL 150mg m/r capsules
da7n.,DEPEFEX XL 75mg m/r capsules
da7o.,DEPEFEX XL 150mg m/r capsules
da7p.,VENLALIC XL 37.5mg m/r tablets
da7q.,VENLAFAXINE 37.5mg m/r tablets
da7r.,SUNVENIZ XL 75mg m/r tablets
da7s.,SUNVENIZ XL 150mg m/r tablets
da7t.,VENLADEX XL 75mg m/r tablets
da7u.,VENLADEX XL 150mg m/r tablets
daA..,REBOXETINE
daA1.,REBOXETINE 4mg tablets
daA2.,EDRONAX 4mg tablets
daB..,MIRTAZAPINE
daB1.,MIRTAZAPINE 30mg tablets
daB2.,*ZISPIN 30mg tablets
daB3.,MIRTAZAPINE 30mg oro-dispersible tablets
daB4.,ZISPIN SOLTAB 30mg oro-dispersible tablets
daB5.,MIRTAZAPINE 15mg oro-dispersible tablets
daB6.,ZISPIN SOLTAB 15mg oro-dispersible tablets
daB7.,MIRTAZAPINE 45mg oro-dispersible tablets
daB8.,ZISPIN SOLTAB 45mg oro-dispersible tablets
daBy.,MIRTAZAPINE 45mg tablets
daBz.,MIRTAZAPINE 15mg tablets
daD..,AGOMELATINE
daD1.,VALDOXAN 25mg tablets
daD2.,AGOMELATINE 25mg tablets
