V2Codes,Description
S332.,"Closed fracture of tibia and fibula, shaft"
S3320,Closed fracture shaft of tibia
S3321,Closed fracture of shaft of fibula
S3322,"Closed fracture of tibia and fibula, shaft"
S332z,"Closed fracture of tibia and fibula, shaft, NOS"
S333.,"Open fracture of tibia and fibula, shaft"
S3330,Open fracture shaft of tibia
S3331,Open fracture of shaft of fibula
S3332,"Open fracture of tibia and fibula, shaft"
S333z,"Open fracture of tibia and fibula, shaft, NOS"
S334.,Closed fracture distal tibia
S3340,"Closed fracture distal tibia, extra-articular"
S3341,"Closed fracture distal tibia, intra-articualr"
S335.,Open fracture distal tibia
S3350,"Open fracture distal tibia, extra-articular"
S3351,"Open fracture distal tibia, intra-articualr"
S336.,Fracture of upper end of tibia
S3360,Fracture tibial plateau
S337.,Fracture of shaft of tibia
S338.,Fracture of lower end of tibia
S339.,Fracture of fibula alone
S3390,Closed fracture of distal fibula
S3391,Open fracture of distal fibula
S33A.,Fracture of tibia
S33B.,Open fracture of distal tibia and fibula
S33C.,Closed fracture of distal tibia and fibula
S33x.,"Closed fracture of tibia and fibula, unspecified part NOS"
S33x0,"Closed fracture of tibia, unspecified part, NOS"
S33x1,"Closed fracture of fibula, unspecified part, NOS"
S33x2,"Closed fracture of tibia and fibula, unspecified part"
S33xz,"Closed fracture of tibia and fibula, unspecified part, NOS"
S33y.,"Open fracture of tibia and fibula, unspecified part NOS"
S33y0,"Open fracture of tibia, unspecified part, NOS"
S33y1,"Open fracture of fibula, unspecified part, NOS"
S33y2,"Open fracture of tibia and fibula, unspecified part"
S33yz,"Open fracture of tibia and fibula, unspecified part, NOS"
S33z.,"Fracture of tibia and fibula, NOS"
S34..,Fracture of ankle
S340.,"Closed fracture ankle, medial malleolus"
S341.,"Open fracture ankle, medial malleolus"
S342.,"Closed fracture ankle, lateral malleolus"
S3420,"Closed fracture ankle, lateral malleolus, low"
S3421,"Closed fracture ankle, lateral malleolus, high"
S343.,"Open fracture ankle, lateral malleolus"
S3230,"Open fracture ankle, lateral malleolus, low"
S3431,"Open fracture ankle, lateral malleolus, high"
S344.,"Closed fracture ankle, bimalleolar"
S3440,"Closed fracture ankle, bimalleolar, low fibular fracture"
S3441,"Closed fracture ankle, bimalleolar, high fibular fracture"
S345.,"Open fracture ankle, bimalleolar"
S3450,"Open fracture ankle, bimalleolar, low fibular fracture"
S3451,"Open fracture ankle, bimalleolar, high fibular fracture"
S346.,"Closed fracture ankle, triimalleolar"
S3460,"Closed fracture ankle, triimalleolar, low fibular fracture"
S3461,"Closed fracture ankle, trimalleolar, high fibular fracture"
S347.,"Open fracture ankle, trimalleolar"
S3470,"Open fracture ankle, trimalleolar, low fibular fracture"
S3471,"Open fracture ankle, trimalleolar, high fibular fracture"
S348.,Fracture of medial malleolus
S349.,Fracture of lateral malleolus
S34x.,"Closed fracture of ankle, unspecified"
S34y.,"Open fracture of ankle, unspecified"
S34z.,"Fracture of ankle, NOS"
S3521,Closed fracture of talus
S3528,"Closed fracture talus, head"
S3529,"Closed fracture talus, neck"
S352A,"Closed fracture talus, body"
S352G,"Closed talus fractures, multple"
S3531,Open fracture of talus
S3538,"Open fracture talus, head"
S3539,"Open fracture talus, neck"
S353A,"Open fracture talus, body"
S353G,"Open talus fractures, multple"
S355.,Fracture of talus
S37..,"Fracture of lower limb, level unspecified"
S370.,"Closed Fracture of lower limb, level unspecified"
S371.,"Open Fracture of lower limb, level unspecified"
S3X..,"Fracture of lower leg, part unspecified"
S3x..,"Other, multiple and ill defined fractures of lower limb"
S3x0.,"Other, multiple and ill defined fractures of closed lower limb"
S3x1.,"Other, multiple and ill defined fractures of open lower limb"
S3x2.,Multiple fractures of femur
S3x3.,Multiple fractures of lower leg
S3xz.,Other multiple fractures of lower limb NOS
S3y..,"Multiple # both lgs, leg and arm, leg and rib and sternum"
S3y0.,"Multiple closed # both lgs, leg and arm, leg and rib and sternum"
S3y1.,"Multiple open # both lgs, leg and arm, leg and rib and sternum"
S3yz.,"Multiple # both lgs, leg and arm, leg and rib and sternum NOS"
7K1L4,Closed reduction of fracture of hip
S4E..,Fracture-dislocation or subluxation hip
S4E0.,"Closed fracture-dislocation, hip joint"
S4E1.,"Open fracture-dislocation, hip joint"
S4E2.,"Closed fracture-subluxation, hip joint"
S4E3.,"Open fracture-subluxation, hip joint"
