CTV3Codes,Description
XE1l8,"Open # of proximal femur, trochanteric section, unspecified"
XE1l9,"Closed fracture neck of femur, NOS"
XM1Nh,"Closed fracture of femur, lesser trochanter"
XM1Ni,"Open fracture of femur, greater trochanter"
XA0HI,Intertrochanteric fracture of femur
XaBDT,"Open fracture of femur, intertrochanteric"
XaBDU,"Closed fracture of femur, intertrochanteric"
XA0HJ,Subtrochanteric fracture of femur
S3004,Closed fracture head of femur
S304.,Pertrochanteric fracture
XA0HN,Fracture of shaft of femur
S3101,Closed fracture of shaft of femur
S3111,Open fracture of shaft of femur
XA0H0,Fracture of distal end of femur
XA0HR,Supracondylar fracture femur
S3123,"Closed fracture distal femur, supracondylar"
S3133,"Open fracture distal femur, supracondylar"
XA0HS,Fracture of femoral condyle
S3121,"Closed fracture femoral condyle, unspecified"
S3124,"Closed fracture distal femur, medial condyle"
S3125,"Closed fracture distal femur, lateral condyle"
S3126,"Closed fracture distal femur, bicondylar (T-Y fracture)"
S3131,"Open fracture of femoral condyle, unspecified"
S3134,"Open fracture distal femur, medial condyle"
S3135,"Open fracture distal femur, lateral condyle"
S3136,"Open fracture distal femur, bicondylar (T-Y fracture)"
XE2ru,Closed fracture distal femur
S3120,"Closed fracture distal femur, unspecified"
S3122,"Closed fracture of femur, lower epiphysis"
S312x,"Closed fracture distal femur, comminuted/intrarticular"
S312z,Closed fracture of distal femur not otherwise specified
XA0HP,"Closed fracture of femur, distal end"
XE2rv,Open fracture distal femur
S3130,"Open fracture distal femur, unspecified"
S3132,"Open fracture of femur, lower epiphysis"
S313x,"Open fracture distal femur, comminuted/intrarticular"
S313z,Open fracture of distal femur not otherwise specified
XA0HQ,"Open fracture of femur, distal end"
S3x2.,Multiple fractures of femur
S31..,Other fracture of femur
S31z.,Fracture of femur NOS
XA0HD,Upper leg fracture NOS
S310.,"Closed fracture of femur, shaft or unspecified part"
S310z,"Closed fracture of femur, shaft or unspecified part, NOS"
S311.,"Closed fracture of femur, shaft or unspecified part"
S311z,"Closed fracture of femur, shaft or unspecified part, NOS"
Syu72,[X} Fractures of other parts of femur
XE1lA,"Closed fracture of femur, unspecified part"
S32..,Fracture of patella
S321.,Open fracture of patella
S3210,"Open fracture patella, transverse"
S3211,"Open fracture patella, proximal pole"
S3212,"Open fracture patella, distal pole"
S3213,"Open fracture patella, vertical"
S3214,"Open fracture patella, comminuted (stellate)"
S32z.,Fracture of patella NOS
S320.,Closed fracture of patella
S3200,"Closed fracture patella, transverse"
S3201,"Closed fracture patella, proximal pole"
S3202,"Closed fracture patella, distal pole"
S3203,"Closed fracture patella, vertical"
S3204,"Closed fracture patella, comminuted (stellate)"
XaB0e,Comminuted fracture of patella
XA0HT,Fracture of tibia
XA0HU,Fracture of proximal end of tibia
Xa1u3,Fracture of tibial spine
S3306,"Closed fracture spina, tibia"
S3316,"Open fracture spina, tibia"
Xa1u2,Fracture tibial plateau
XaX6E,Open fracture tibial plateau
XA0HV,Closed fracture tibial condyles
S3303,"Closed fracture proximal tibia, medial condyle (plateau)"
S3304,"Closed fracture proximal tibia, lateral condyle (plateau)"
S3305,"Closed fracture proximal tibia, bicondylar"
XA0HY,Open fracture tibial condyles
S3313,"Open fracture proximal tibia, medial condyle (plateau)"
S3314,"Open fracture proximal tibia, lateral condyle (plateau)"
S3315,"Open  fracture proximal tibia, bicondylar"
XE1lB,Closed fracture proximal tibia
S3307,Closed fracture tubercle tibia
XA0HW,Closed fracture tibial tuberosity
XE1lC,Open fracture proximal tibia
S3317,Open fracture tubercle tibia
XA0HX,Open fracture tibial tuberosity
S337.,Fracture of shaft of tibia
S3330,Open fracture shaft of tibia
S3320,Closed fracture shaft of tibia
Xa0m8,Fracture of distal end of tibia
Xa1mv,Fracture of medial malleolus
S340.,"Closed fracture ankle, medial malleolus"
S341.,"Open fracture ankle, medial malleolus"
Xa1mw,Fracture of posterior malleolus
XA0Ha,Tilleau fracture
S334.,Closed fracture distal tibia
S3340,"Closed fracture distal tibia, extra articular"
S3341,"Closed fracture distal tibia, intra articular"
S335.,Open fracture distal tibia
S3350,"Open fracture distal tibia, extra articular"
S3351,"Open fracture distal tibia, intra articular"
S33x0,"Closed fracture tibia, unspecified part, NOS"
S33y0,"Open fracture tibia, unspecified part, NOS"
XA0Hb,Fracture of fibula
XA0Hc,Fracture of proximal end of fibula
Xa1mx,Fracture of head of fibula
S3308,"Closed fracture fibula, head"
S3318,"Open fracture fibula, head"
Xa1my,Fracture of neck of fibula
S3309,"Closed fracture fibula, neck"
S3319,"Open fracture fibula, neck"
S3301,Closed fracture proximal fibula
S3311,Open fracture proximal fibula
XM0BE,Fracture of shaft of fibula
S3331,Open Fracture of shaft of fibula
S3321,Closed Fracture of shaft of fibula
XA0Hd,Fracture of distal end of fibula
Xa1mz,Fracture of lateral malleolus
S342.,"Closed fracture ankle, lateral malleolus"
S3420,"Closed fracture ankle, lateral malleolus, low"
S3421,"Closed fracture ankle, lateral malleolus, high"
S343.,"Open fracture ankle, lateral malleolus"
S3430,"Open fracture ankle, lateral malleolus, low"
S3431,"Open fracture ankle, lateral malleolus, high"
XaBDV,Open fracture distal fibula
XaBMY,Closed fracture distal fibula
S33x1,"Closed fracture distal fibula, unspecified part, NOS"
S33y1,"Open fracture distal fibula, unspecified part, NOS"
S351,Open fracture talus
S3538,"Open fracture talus, head"
S3539,"Open fracture talus, neck"
S353A,"Open fracture talus, body"
S3521,Closed fracture talus
S3528,"Closed fracture talus, head"
S3529,"Closed fracture talus, neck"
S352A,"Closed fracture talus, body"
XA0Hj,Fracture of talus
XA0HK,Hip fracture NOS
XA0ED,Fracture dislocation of hip joint
S4E1.,"Open fracture dislocation, hip joint"
S4E..,Fracture dislocation or subluxation hip
S4E0.,"Closed fracture dislocation, hip joint"
Xa8AO,Fracture subluxation of hip joint
S4E2.,"Closed fracture subluxation, hip joint"
S4E3.,"Open fracture subluxation, hip joint"
