V2Codes,Description
d4sJ.,SONDATE XL 300mg m/r tablets
d4sK.,SONDATE XL 400mg m/r tablets
d4sL.,ATROLAK XL 200mg m/r tablets
d4sM.,ATROLAK XL 300mg m/r tablets
d4sN.,SEOTIAPIM XL 200mg m/r tablets
d4sO.,SEOTIAPIM XL 300mg m/r tablets
d4sP.,SEOTIAPIM XL 400mg m/r tablets
d4sQ.,ATROLAK XL 50mg m/r tablets
d4sR.,ATROLAK XL 400mg m/r tablets
d4sS.,EBESQUE XL 50mg m/r tablets
d4sT.,EBESQUE XL 200mg m/r tablets
d4sU.,EBESQUE XL 300mg m/r tablets
d4sV.,EBESQUE XL 400mg m/r tablets
d4sW.,ZALURON XL 50mg m/r tablets
d4sX.,ZALURON XL 150mg m/r tablets
d4sY.,ZALURON XL 200mg m/r tablets
d4sZ.,ZALURON XL 300mg m/r tablets
d4sa.,ZALURON XL 400mg m/r tablets
d4sb.,BIQUELLE XL 50mg m/r tablets
d4sc.,BIQUELLE XL 150mg m/r tablets
d4sd.,BIQUELLE XL 200mg m/r tablets
d4se.,BIQUELLE XL 300mg m/r tablets
d4sf.,BIQUELLE XL 400mg m/r tablets
d4sg.,MINTRELEQ XL 50mg m/r tablets
d4sh.,MINTRELEQ XL 150mg m/r tablets
d4si.,MINTRELEQ XL 200mg m/r tablets
d4sj.,MINTRELEQ XL 300mg m/r tablets
d4sk.,MINTRELEQ XL 400mg m/r tablets
d4sl.,ALAQUET XL 50mg m/r tablets
d4sm.,ALAQUET XL 150mg m/r tablets
d4sn.,ALAQUET XL 200mg m/r tablets
d4so.,ALAQUET XL 300mg m/r tablets
d4sp.,ALAQUET XL 400mg m/r tablets
d4ss.,QUETIAPINE 150mg m/r tablets
d4st.,QUETIAPINE 400mg m/r tablets
d4su.,QUETIAPINE 300mg m/r tablets
d4sv.,QUETIAPINE 200mg m/r tablets
d4sw.,QUETIAPINE 50mg m/r tablets
d4sx.,QUETIAPINE 300mg tablets
d4sy.,QUETIAPINE 25mg+100mg+150mg tablets starter pack
d4sz.,QUETIAPINE 150mg tablets
d4p..,RISPERIDONE
d4p1.,RISPERIDONE 1mg tablets
d4p2.,RISPERIDONE 2mg tablets
d4p3.,RISPERIDONE 3mg tablets
d4p4.,RISPERIDONE 4mg tablets
d4p5.,RISPERDAL 1mg tablets
d4p6.,RISPERDAL 2mg tablets
d4p7.,RISPERDAL 3mg tablets
d4p8.,RISPERDAL 4mg tablets
d4p9.,RISPERIDONE 1mg/mL liquid
d4pA.,RISPERDAL 1mg/mL liquid
d4pB.,RISPERIDONE 6mg tablets
d4pC.,RISPERDAL 6mg tablets
d4pD.,RISPERDAL 0.5mg tablets
d4pE.,RISPERDAL CONSTA 25mg powder+solvent for suspension for injection
d4pF.,RISPERDAL CONSTA 37.5mg powder+solvent for suspension for injection
d4pG.,RISPERDAL CONSTA 50mg powder+solvent for suspension for injection
d4pH.,RISPERIDONE 1mg oro-dispersible tablets
d4pJ.,RISPERIDONE 2mg oro-dispersible tablets
d4pK.,RISPERDAL QUICKLET 1mg oro-dispersible tablets
d4pL.,RISPERDAL QUICKLET 2mg oro-dispersible tablets
d4pM.,RISPERIDONE 0.5mg oro-dispersible tablets
d4pN.,RISPERDAL QUICKLET 0.5mg oro-dispersible tablets
d4pO.,RISPERDAL QUICKLET 3mg oro-dispersible tablets
d4pP.,RISPERDAL QUICKLET 4mg oro-dispersible tablets
d4pQ.,RISPERIDONE 3mg oro-dispersible tablets
d4pR.,RISPERIDONE 4mg oro-dispersible tablets
d4pS.,RISPERIDONE 1mg/mL oral solution
d4pw.,RISPERIDONE 50mg powder+solvent for suspension for injection
d4px.,RISPERIDONE 37.5mg powder+solvent for suspension for injection
d4py.,RISPERIDONE 25mg powder+solvent for suspension for injection
d4pz.,RISPERIDONE 0.5mg tablets
