V2Codes,Description
BB81E,[M]Mucinous cystadenocarcinoma NOS
B175.,"Malignant neoplasm, overlapping lesion of pancreas"
B173.,Malignant neoplasm of pancreatic duct
B17yz,Malignant neoplasm of specified site of pancreas NOS
B172.,Malignant neoplasm of tail of pancreas
B7170,Endocrine tumour of pancreas
BB81B,[M]Serous surface papillary carcinoma
B1613,Malignant neoplasm of sphincter of Oddi
BB81H,[M]Papillary mucinous cystadenocarcinoma
BB815,"[M]Papillary cystadenocarcinoma, NOS"
BB5B1,[M]Islet cell carcinoma
BB5B6,[M]Mixed islet cell and exocrine adenocarcinoma
B17y.,Malignant neoplasm of other specified sites of pancreas
B170.,Malignant neoplasm of head of pancreas
B17y0,Malignant neoplasm of ectopic pancreatic tissue
BB5B2,[M]Insulinoma NOS
B17..,Malignant neoplasm of pancreas
BB5C0,[M]Gastrinoma NOS
B17z.,Malignant neoplasm of pancreas NOS
BB5B4,[M]Glucagonoma NOS
BB5C1,"[M]Gastrinoma, malignant"
BB812,"[M]Serous cystadenocarcinoma, NOS"
B171.,Malignant neoplasm of body of pancreas
BB5B5,"[M]Glucagonoma, malignant"
BB5B0,[M]Nesidioblastoma
BB818,[M]Papillary serous cystadenocarcinoma
BBLK.,[M]Pancreatoblastoma
B110.,Malignant neoplasm of cardia of stomach
B11y0,Malignant neoplasm of anterior wall of stomach NEC
B11yz,Malignant neoplasm of other specified site of stomach NOS
B117.,"Malignant neoplasm, overlapping lesion of stomach"
B1111,Malignant neoplasm of pyloric canal of stomach
B113.,Malignant neoplasm of fundus of stomach
B112.,Malignant neoplasm of pyloric antrum of stomach
B11y1,Malignant neoplasm of posterior wall of stomach NEC
B1100,Malignant neoplasm of cardiac orifice of stomach
B111z,Malignant neoplasm of pylorus of stomach NOS
B10..,Malignant neoplasm of oesophagus
BB55.,[M]Linitis plastica
B114.,Malignant neoplasm of body of stomach
B11z.,Malignant neoplasm of stomach NOS
B1110,Malignant neoplasm of prepylorus of stomach
B110z,Malignant neoplasm of cardia of stomach NOS
B104.,Malignant neoplasm of middle third of oesophagus
B11y.,Malignant neoplasm of other specified site of stomach
B116.,Malignant neoplasm of greater curve of stomach unspecified
B115.,Malignant neoplasm of lesser curve of stomach unspecified
B111.,Malignant neoplasm of pylorus of stomach
B11..,Gastric neoplasm
B4703,Teratoma of undescended testis
B471.,Malignant neoplasm of descended testis
B47z.,Teratoma of testis
B4711,Teratoma of descended testis
B58y6,Secondary malignant neoplasm of testis
B470.,Malignant neoplasm of undescended testis
BBQ1.,[M]Seminomas
B47..,Malignant neoplasm of testis
B4710,Seminoma of descended testis
BBQ1z,[M]Seminoma NOS
B470z,Malignant neoplasm of undescended testis NOS
B48y1,Malignant neoplasm of tunica vaginalis
BBC0.,[M]Testicular stromal tumour
B4702,Seminoma of undescended testis
BBQ10,"[M]Seminoma, anaplastic type"
BBQ11,[M]Spermatocytic seminoma
B471z,Malignant neoplasm of descended testis NOS
B44z.,Malignant neoplasm of uterine adnexa NOS
B443.,Malignant neoplasm of parametrium
Byu70,"[X]Malignant neoplasm of uterine adnexa, unspecified"
B43z.,Malignant neoplasm of body of uterus NOS
B4300,Malignant neoplasm of cornu of corpus uteri
BBK03,[M]Leiomyoblastoma
B4302,Malignant neoplasm of endometrium of corpus uteri
B4301,Malignant neoplasm of fundus of corpus uteri
BB5j2,[M]Endometrioid carcinoma
B43y.,Malignant neoplasm of other site of uterine body
B430.,"Malignant neoplasm of corpus uteri, excluding isthmus"
BBK07,[M]Myxoid leiomyosarcoma
B430z,Malignant neoplasm of corpus uteri NOS
BBL0.,[M]Endometrial stromal sarcoma
B44y.,Malignant neoplasm of other site of uterine adnexa
B40..,"Malignant neoplasm of uterus, part unspecified"
B4310,Malignant neoplasm of lower uterine segment
B441.,Malignant neoplasm of fallopian tube
B431.,Malignant neoplasm of isthmus of uterine body
BBK02,[M]Leiomyosarcoma NOS
B58y1,Secondary malignant neoplasm of uterus
B431z,Malignant neoplasm of isthmus of uterine body NOS
B4303,Malignant neoplasm of myometrium of corpus uteri
B432.,Malignant neoplasm of overlapping lesion of corpus uteri
B43..,Malignant neoplasm of body of uterus
B51y.,Malignant neoplasm of other parts of brain
BA06.,Neoplasm of unspecified nature of brain
BBb3.,[M]Subependymal astrocytoma NOS
B51y2,"Malignant neoplasm, overlapping lesion of brain"
B5103,Malignant neoplasm of globus pallidus
BBa3.,[M]Pineoblastoma
B517.,Malignant neoplasm of brain stem
B5101,Malignant neoplasm of cerebral cortex
BBbB.,[M]Astrocytoma NOS
BBbZ.,[M]Pleomorphic xanthoastrocytoma
BBb0.,"[M]Glioma, malignant"
B542.,Malignant neoplasm pituitary gland and craniopharyngeal duct
B513.,Malignant neoplasm of parietal lobe
BBd7.,[M]Angioblastic meningioma
B521z,Malignant neoplasm of cerebral meninges NOS
BBc6.,[M]Ganglioglioma
B506.,Malignant neoplasm of choroid
BBbL.,[M]Glioblastoma NOS
BBbF.,[M]Fibrillary astrocytoma
BBbV.,[M]Medullomyoblastoma
B5104,Malignant neoplasm of hypothalamus
BBb..,[M]Gliomas
BBba.,[M]Primitive neuroectodermal tumour
BBbH.,[M]Spongioblastoma NOS
BB9G.,[M]Infiltrating ductular carcinoma
BBd2.,"[M]Meningioma, malignant"
B5172,Malignant neoplasm of midbrain
BBm0.,[M]Microglioma
BBb8.,[M]Ependymoblastoma
B51..,Malignant neoplasm of brain
B510z,Malignant neoplasm of cerebrum NOS
B542z,Malig neop pituitary gland or craniopharyngeal duct NOS
B515.,Malignant neoplasm of cerebral ventricles
B516.,Malignant neoplasm of cerebellum
B5170,Malignant neoplasm of cerebral peduncle
BBdz.,[M]Meningioma NOS
B5420,Malignant neoplasm of pituitary gland
BBd1.,[M]Diffuse meningiomatosis
BBbT.,[M]Medulloblastoma NOS
B51y0,Malignant neoplasm of corpus callosum
B5105,Malignant neoplasm of thalamus
B51z.,Malignant neoplasm of brain NOS
ByuA2,"[X]Malignant neoplasm of meninges, unspecified"
B521.,Malignant neoplasm of cerebral meninges
B5830,Secondary malignant neoplasm of brain
BBd5.,[M]Psammomatous meningioma
B512z,Malignant neoplasm of temporal lobe NOS
BBbG.,[M]Juvenile astrocytoma
BBbE.,[M]Gemistocytic astrocytoma
BBb4.,[M]Subependymal giant cell astrocytoma
BBbS.,[M]Oligodendroblastoma
B51yz,Malignant neoplasm of other part of brain NOS
BBb2.,[M]Mixed glioma
B5212,Malignant neoplasm of cerebral pia mater
ByuA3,"[X]Malig neopl, overlap lesion brain & other part of CNS"
B543.,Malignant neoplasm of pineal gland
BBbK.,[M]Astroblastoma
B517z,Malignant neoplasm of brain stem NOS
B5173,Malignant neoplasm of pons
B583.,Secondary malignant neoplasm of brain and spinal cord
BBbU.,[M]Desmoplastic medulloblastoma
BBbQ.,[M]Oligodendroglioma NOS
BBbW.,[M]Cerebellar sarcoma NOS
B5210,Malignant neoplasm of cerebral dura mater
BBbR.,"[M]Oligodendroglioma, anaplastic type"
BBc7.,[M]Neuroastrocytoma
BBb1.,[M]Gliomatosis cerebri
B5832,Cerebral metastasis
BBbz.,[M]Glioma NOS
BBbM.,[M]Giant cell glioblastoma
BBdB.,[M]Meningeal sarcomatosis
B510.,Malignant neoplasm cerebrum (excluding lobes and ventricles)
BBbA.,[M]Myxopapillary ependymoma
B5120,Malignant neoplasm of hippocampus
B583z,Secondary malignant neoplasm of brain or spinal cord NOS
BBbC.,"[M]Astrocytoma, anaplastic type"
B511.,Malignant neoplasm of frontal lobe
B5171,Malignant neoplasm of medulla oblongata
B5100,Malignant neoplasm of basal ganglia
B52X.,"Malignant neoplasm of meninges, unspecified"
B514.,Malignant neoplasm of occipital lobe
B5150,Malignant neoplasm of choroid plexus
B134.,Malignant neoplasm of caecum
B132.,Malignant neoplasm of descending colon
B14..,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
B138.,"Malignant neoplasm, overlapping lesion of colon"
B5750,Secondary malignant neoplasm of colon
B140.,Malignant neoplasm of rectosigmoid junction
B13z.,Colonic cancer
B1z0.,Cancer of bowel
B130.,Malignant neoplasm of hepatic flexure of colon
B136.,Malignant neoplasm of ascending colon
B18y2,Malignant neoplasm of mesorectum
B141.,Malignant neoplasm of rectum
B13y.,Malignant neoplasm of other specified sites of colon
B137.,Malignant neoplasm of splenic flexure of colon
B575.,Secondary malignant neoplasm of large intestine and rectum
B575z,Secondary malig neop of large intestine or rectum NOS
B14z.,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"
B5751,Secondary malignant neoplasm of rectum
B14y.,"Malig neop other site rectum, rectosigmoid junction and anus"
B133.,Malignant neoplasm of sigmoid colon
B13..,Malignant neoplasm of colon
B131.,Malignant neoplasm of transverse colon
B23..,Malignant neoplasm of pleura
B2...,Malig neop of respiratory tract and intrathoracic organs
B2240,Malignant neoplasm of lower lobe bronchus
B26..,"Malignant neoplasm, overlap lesion of resp & intrathor orgs"
B2241,Malignant neoplasm of lower lobe of lung
B22y.,Malignant neoplasm of other sites of bronchus or lung
B224z,"Malignant neoplasm of lower lobe, bronchus or lung NOS"
B2221,Malignant neoplasm of upper lobe of lung
B221.,Malignant neoplasm of main bronchus
Byu20,"[X]Malignant neoplasm of bronchus or lung, unspecified"
B224.,"Malignant neoplasm of lower lobe, bronchus or lung"
B222z,"Malignant neoplasm of upper lobe, bronchus or lung NOS"
BBP7.,"[M]Mesothelioma, biphasic type, malignant"
B5618,Secondary and unspec malig neop bronchopulmonary lymph nodes
BBPX.,"[M]Mesothelioma, unspecified"
Byu50,[X]Mesothelioma of lung
B551.,Malignant neoplasm of thorax
BBLM.,[M]Pulmonary blastoma
B223.,"Malignant neoplasm of middle lobe, bronchus or lung"
B222.,"Malignant neoplasm of upper lobe, bronchus or lung"
B223z,"Malignant neoplasm of middle lobe, bronchus or lung NOS"
B22..,"Malignant neoplasm of trachea, bronchus and lung"
BB5S2,[M]Bronchiolo-alveolar adenocarcinoma
B2220,Malignant neoplasm of upper lobe bronchus
BBTL.,[M]Intravascular bronchial alveolar tumour
BBP1.,"[M]Mesothelioma, malignant"
B22z.,Lung cancer
B226.,Mesothelioma
B2230,Malignant neoplasm of middle lobe bronchus
B2211,Malignant neoplasm of hilus of lung
L1970,NA
B2231,Malignant neoplasm of middle lobe of lung
B2zy.,Malignant neoplasm of other site of respiratory tract
B551z,Malignant neoplasm of thorax NOS
B5616,Secondary and unspec malig neop superfic tracheobronchial LN
B232.,Mesothelioma of pleura
Byu51,"[X]Mesothelioma, unspecified"
BBP9.,[M]Cystic mesothelioma
B221z,Malignant neoplasm of main bronchus NOS
BB1K.,[M]Oat cell carcinoma
B225.,Malignant neoplasm of overlapping lesion of bronchus & lung
B2210,Malignant neoplasm of carina of bronchus
B5617,Secondary and unspec malig neop inferior tracheobronchial LN
BBP5.,"[M]Epithelioid mesothelioma, malignant"
B570.,Secondary malignant neoplasm of lung
BBM0.,[M]Brenner tumours
BBCE.,[M]Lipid cell tumour of ovary
BBC10,[M]Thecoma NOS
B586.,Secondary malignant neoplasm of ovary
BBC12,"[M]Thecoma, luteinized"
BBL5.,[M]Mullerian mixed tumour
BB81.,[M]Ovarian serous tumour
BBC3.,[M]Granulosa cell tumour NOS
BBC4.,"[M]Granulosa cell tumour, malignant"
B440.,Malignant neoplasm of ovary
BBCCz,[M]Leydig cell tumour NOS
BBM01,"[M]Brenner tumour, malignant"
BB81z,"[M]Ovarian cystic, mucinous or serous neoplasm NOS"
BBCC1,"[M]Leydig cell tumour, malignant"
BBQA1,"[M]Struma ovarii, malignant"
BB851,[M]Krukenberg tumour
BBQA0,[M]Struma ovarii NOS
B44..,Malignant neoplasm of ovary and other uterine adnexa
BBM0z,[M]Brenner tumour NOS
220 M,NA
BBC7.,[M]Sertoli-Leydig cell tumour
BBR4.,"[M]Malignant teratoma, trophoblastic"
BBCC.,[M]Leydig cell tumour
BBM00,"[M]Brenner tumour, borderline malignancy"
BBC5.,[M]Granulosa cell-theca cell tumour
B215.,Malignant neoplasm of epiglottis NOS
B082.,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"
B0032,"Malignant neoplasm of lower lip, mucosa"
B055.,Malignant neoplasm of palate unspecified
B055z,Malignant neoplasm of palate NOS
B0...,"Carcinoma of lip, oral cavity and pharynx"
B00z0,"Malignant neoplasm of lip, unspecified, external"
B0641,Malignant neoplasm of glossoepiglottic fold
B0031,"Malignant neoplasm of lower lip, frenulum"
B006.,Malignant neoplasm of overlapping lesion of lip
B016.,Malignant neoplasm of lingual tonsil
B58y9,Secondary malignant neoplasm of tongue
B04z.,Malignant neoplasm of floor of mouth NOS
B0020,"Malignant neoplasm of upper lip, buccal aspect"
B071.,Malignant neoplasm of posterior wall of nasopharynx
B06y.,"Malignant neoplasm of oropharynx, other specified sites"
B06z.,Malignant neoplasm of oropharynx NOS
B060.,Malignant neoplasm of tonsil
B0130,Malignant neoplasm of anterior 2/3 of tongue ventral surface
B06yz,Malignant neoplasm of other specified site of oropharynx NOS
B080.,Malignant neoplasm of postcricoid region
B010.,Malignant neoplasm of posterior third of tongue
B0550,Malignant neoplasm of junction of hard and soft palate
BBZ2.,"[M]Odontogenic tumour, malignant"
B014.,Malignant neoplasm of anterior 2/3 of tongue unspecified
B0z1.,Malignant neoplasm of Waldeyer's ring
B004.,"Malignant neoplasm of lip unspecified, inner aspect"
B0511,Malignant neoplasm of lower buccal sulcus
B08y.,Malignant neoplasm of other specified hypopharyngeal site
B053.,Malignant neoplasm of soft palate
B003.,"Malignant neoplasm of lower lip, inner aspect"
BBZJ.,[M]Squamous odontogenic tumour
BBZF.,[M]Ameloblastoma NOS
B211.,Malignant neoplasm of supraglottis
B01..,Malignant neoplasm of tongue
B212.,Malignant neoplasm of subglottis
B0021,"Malignant neoplasm of upper lip, frenulum"
B066.,Malignant neoplasm of lateral wall of oropharynx
B003z,"Malignant neoplasm of lower lip, inner aspect NOS"
B00..,Malignant neoplasm of lip
B0023,"Malignant neoplasm of upper lip, oral aspect"
B00zz,"Malignant neoplasm of lip, vermilion border NOS"
Byu0.,"[X]Malignant neoplasm of lip, oral cavity and pharynx"
B01z.,Malignant neoplasm of tongue NOS
B083.,Malignant neoplasm of posterior pharynx
B0011,"Malignant neoplasm of lower lip, lipstick area"
B050.,Malignant neoplasm of cheek mucosa
B017.,Malignant overlapping lesion of tongue
B0551,Malignant neoplasm of roof of mouth
B010z,Malignant neoplasm of fixed part of tongue NOS
BBZH.,[M]Odontoameloblastoma
B067.,Malignant neoplasm of posterior wall of oropharynx
B01y.,Malignant neoplasm of other sites of tongue
B0100,Malignant neoplasm of base of tongue dorsal surface
B070.,Malignant neoplasm of roof of nasopharynx
B065.,Malignant neoplasm of junctional region of epiglottis
B0623,Malignant neoplasm of palatopharyngeal arch
B0622,Malignant neoplasm of palatoglossal arch
B041.,Malignant neoplasm of lateral portion of floor of mouth
B0621,Malignant neoplasm of glossopalatine fold
B0711,Malignant neoplasm of pharyngeal tonsil
BBZN.,[M]Odontogenic fibrosarcoma
B07z.,Malignant neoplasm of nasopharynx NOS
B0040,"Malignant neoplasm of lip unspecified, buccal aspect"
B0z0.,Malignant neoplasm of pharynx unspecified
B005.,Malignant neoplasm of commissure of lip
BBZ..,[M]Odontogenic tumours
B0022,"Malignant neoplasm of upper lip, mucosa"
B05z.,Malignant neoplasm of mouth NOS
B056.,Malignant neoplasm of retromolar area
BBZC.,[M]Ameloblastic odontosarcoma
B064z,Malignant neoplasm of anterior epiglottis NOS
B0zy.,"Malignant neoplasm of other sites lip, oral cavity, pharynx"
BBZ1.,[M]Odontogenic tumour NOS
B0030,"Malignant neoplasm of lower lip, buccal aspect"
B013.,Malignant neoplasm of ventral surface of tongue
B072.,Malignant neoplasm of lateral wall of nasopharynx
BBZz.,[M]Odontogenic tumour NOS
B05..,Malignant neoplasm of other and unspecified parts of mouth
B072z,Malignant neoplasm of lateral wall of nasopharynx NOS
B011.,Malignant neoplasm of dorsal surface of tongue
B001z,"Malignant neoplasm of lower lip, vermilion border NOS"
B012.,"Malignant neoplasm of tongue, tip and lateral border"
B062.,Malignant neoplasm of tonsillar pillar
B011z,Malignant neoplasm of dorsum of tongue NOS
B08z.,Malignant neoplasm of hypopharynx NOS
B081.,Malignant neoplasm of pyriform sinus
B0131,Malignant neoplasm of frenulum linguae
B03z.,Malignant neoplasm of gum NOS
B07y.,Malignant neoplasm of other specified site of nasopharynx
B03..,Malignant neoplasm of gum
B0620,Malignant neoplasm of faucial pillar
B04y.,Malignant neoplasm of other sites of floor of mouth
B210.,Malignant neoplasm of glottis
B00z1,"Malignant neoplasm of lip, unspecified, lipstick area"
B0043,"Malignant neoplasm of lip, oral aspect"
B051.,Malignant neoplasm of vestibule of mouth
B0731,Malignant neoplasm of nasopharyngeal soft palate surface
B04..,Malignant neoplasm of floor of mouth
B05y.,Malignant neoplasm of other specified mouth parts
B0010,"Malignant neoplasm of lower lip, external"
B05z0,Kaposi's sarcoma of palate
B002z,"Malignant neoplasm of upper lip, inner aspect NOS"
B073.,Malignant neoplasm of anterior wall of nasopharynx
B0602,Malignant neoplasm of overlapping lesion of tonsil
B031.,Malignant neoplasm of lower gum
B0640,"Malignant neoplasm of epiglottis, free border"
B0033,"Malignant neoplasm of lower lip, oral aspect"
B013z,Malignant neoplasm of ventral tongue surface NOS
B074.,"Malignant neoplasm, overlapping lesion of nasopharynx"
B064.,Malignant neoplasm of anterior epiglottis
B02..,Malignant neoplasm of major salivary glands
B0720,Malignant neoplasm of pharyngeal recess
B000z,"Malignant neoplasm of upper lip, vermilion border NOS"
B040.,Malignant neoplasm of anterior portion of floor of mouth
B001.,"Malignant neoplasm of lower lip, vermilion border"
B073z,Malignant neoplasm of anterior wall of nasopharynx NOS
B052.,Malignant neoplasm of hard palate
BBZD.,[M]Adenoameloblastoma
B0042,"Malignant neoplasm of lip unspecified, mucosa"
B042.,"Malignant neoplasm, overlapping lesion of floor of mouth"
B06..,Malignant neoplasm of oropharynx
B0601,Malignant neoplasm of palatine tonsil
B002.,"Malignant neoplasm of upper lip, inner aspect"
B071z,Malignant neoplasm of posterior wall of nasopharynx NOS
B062z,Malignant neoplasm of tonsillar fossa NOS
B08..,Malignant neoplasm of hypopharynx
B030.,Malignant neoplasm of upper gum
B0600,Malignant neoplasm of faucial tonsil
B0710,Malignant neoplasm of adenoid
B0510,Malignant neoplasm of upper buccal sulcus
B0001,"Malignant neoplasm of upper lip, lipstick area"
B054.,Malignant neoplasm of uvula
B0111,Malignant neoplasm of midline of tongue
B0000,"Malignant neoplasm of upper lip, external"
B0zz.,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
BBZP.,[M]Calcifying epithelial odontogenic tumour
B015.,"Malignant neoplasm of tongue, junctional zone"
B330.,Malignant neoplasm of skin of lip
B000.,"Malignant neoplasm of upper lip, vermilion border"
B060z,Malignant neoplasm tonsil NOS
B03y.,Malignant neoplasm of other sites of gum
B061.,Malignant neoplasm of tonsillar fossa
B0z..,"Malig neop other/ill-defined sites lip, oral cavity, pharynx"
B326.,Malignant melanoma of upper limb and shoulder
B321.,Malignant melanoma of eyelid including canthus
B324z,Malignant melanoma of scalp and neck NOS
B3252,Malignant melanoma of buttock
B3235,Malignant melanoma of temple
BBE2.,[M]Nodular melanoma
B323z,Malignant melanoma of face NOS
B32y0,Overlapping malignant melanoma of skin
BBEM.,[M]Malignant melanoma in giant pigmented naevus
B3265,Malignant melanoma of thumb
B327z,Malignant melanoma of lower limb or hip NOS
B3258,Malignant melanoma of chest wall
B3254,Malignant melanoma of perianal skin
B3275,Malignant melanoma of ankle
7G03J,Excision of melanoma
BBEA.,[M]Amelanotic melanoma
B3279,Malignant melanoma of great toe
B32z.,Malignant melanoma of skin NOS
