SNOMEDCTCodes,Description,Grade
10713006,fibrosing alveolitis associated with rheumatoid arthritis,3
193180002,polyneuropathy in rheumatoid arthritis,3
193250002,myopathy due to rheumatoid arthritis,3
195136004,rheumatoid myocarditis,3
239793008,rheumatoid arthropathy + visceral/systemic involvement nos,3
28880005,rheumatoid carditis,3
33719002,rheumatoid nodule,3
398640008,caplan's syndrome,3
398726004,rheumatoid lung disease,3
400054000,rheumatoid vasculitis,3
57160007,felty's syndrome,3
416666007,Anterior uveitis in juvenile idiopathic arthritis (disorder),3
402431009,Cutaneous atrophy due to rheumatoid arthritis (disorder),3
21430002,Dilated cardiomyopathy secondary to rheumatoid arthritis (disorder),3
735599007,Erosion of joint surface co-occurrent and due to rheumatoid arthritis (disorder),3
52661003,Extra-articular rheumatoid process (disorder),3
7607008,Pericarditis co-occurrent with extraarticular rheumatoid arthritis (disorder),3
319841000119107,Rheumatoid lung disease with rheumatoid arthritis (disorder),3
836472001,Spindling of fingers of bilateral hands due to rheumatoid arthritis (disorder),3
86219005,Uveitis-rheumatoid arthritis syndrome (disorder),3
1048311000000106,rheumatoid arthritis impact of disease questionnaire,4
1085601000000101,disease activity score in rheumatoid arthritis,4
161567008,h/o: rheumatoid arthritis,4
1875561000006103,rheumatoid arthritis monitoring invitation,4
1875571000006105,rheumatoid arthritis monitoring telephone invitation,4
1875581000006108,rheumatoid arthritis monitoring verbal invitation,4
1875591000006106,rheumatoid arthritis monitoring invitation first letter,4
1875601000006103,rheumatoid arthritis monitoring invitation second letter,4
1875611000006100,rheumatoid arthritis monitoring invitation third letter,4
1932121000006100,3d study - problems with rheumatoid arthritis management,4
231041000000107,delivery of rehabilitation for rheumatoid arthritis,4
275902004,rheumatoid arthrit. monitoring,4
441870009,disease activity score using 28 joint count,4
805941000000105,exception reporting: rheumatoid arthritis quality indicators,4
805961000000106,except rheumatoid arthritis quality indicator: pt unsuitable,4
805981000000102,except rheumatoid arthritis qual indicator: informed dissent,4
84017003,rheumatoid bursitis,4
847261000000104,rheumatoid arthritis annual review,4
882321000000105,rheumatoid arthritis monitoring invitation,4
882401000000106,rheumatoid arthritis monitoring invitation first letter,4
882421000000102,rheumatoid arthritis monitoring invitation second letter,4
882441000000109,rheumatoid arthritis monitoring invitation third letter,4
882461000000105,rheumatoid arthritis monitoring verbal invitation,4
882481000000101,rheumatoid arthritis monitoring telephone invitation,4
444009006,Assessment of rheumatoid arthritis (procedure),4
493231000000104,Assessment of rheumatoid arthritis using disease activity score - original (regime/therapy),4
493241000000108,Assessment of rheumatoid arthritis using disease activity score using 28 joint count (regime/therapy),4
493251000000106,Assessment of rheumatoid arthritis using disease activity score using C-reactive protein (regime/therapy),4
494441000000105,Rheumatoid arthritis work instability scale (assessment scale),4
1083081000000100,Rheumatoid arthritis monitoring invitation email (procedure),4
446043004,Rheumatoid arthritis work instability scale score (observable entity),4
443349002,Disease activity score in rheumatoid arthritis (assessment scale),4
1048281000000108,Rheumatoid Arthritis Impact of Disease questionnaire (assessment scale),4
443539004,Disease activity score in rheumatoid arthritis using C-reactive protein (assessment scale),4
764529000,Salford Rheumatoid Arthritis Foot Evaluation Instrument (assessment scale),4
1048301000000109,Assessment using Rheumatoid Arthritis Impact of Disease questionnaire (procedure),4
1066991000000109,Rheumatoid arthritis monitoring invitation by short message service text messaging (procedure),4
1067001000000103,Rheumatoid arthritis monitoring short message service text message first invitation (procedure),4
1067021000000107,Rheumatoid arthritis monitoring short message service text message third invitation (procedure)',4
1067011000000101,Rheumatoid arthritis monitoring short message service text message second invitation (procedure),4
764894008,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Footwear total score (observable entity),4
764895009,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Disability total score (observable entity),4
764901007,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Impairment total score (observable entity),4
764896005,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Personal feelings domain total score (observable entity),4
764897001,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Impact on career domain total score (observable entity),4
764905003,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Personal adaptation domain total score (observable entity),4
764900008,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Visual impact domain total score (observable entity),4
764898006,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Effect on family life domain total score (observable entity),4
764899003,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - External factors that affect foot symptoms domain total score (observable entity),4
