CTV3Codes,Description
S113B,"Open spinal fracture with incomplete thoracic cord lesion, T7-12 not otherwise specified"
XaE3c,Spinal fracture with lumbar cord lesion
S1140,Closed spinal fracture with unspecified lumbar cord lesion
S1141,Closed spinal fracture with complete lumbar cord lesion
S1142,Closed spinal fracture with anterior lumbar cord lesion
S1143,Closed spinal fracture with central lumbar cord lesion
S1144,Closed spinal fracture with posterior lumbar cord lesion
S1150,Open spinal fracture with unspecified lumbar cord lesion
S1151,Open spinal fracture with complete lumbar cord lesion
S1152,Open spinal fracture with anterior lumbar cord lesion
S1153,Open spinal fracture with central lumbar cord lesion
S1154,Open spinal fracture with posterior lumbar cord lesion
S115z,Open spinal fracture with incomplete lumbar cord lesion not otherwise specified
XaBMR,Collapsed vertebra NOS
7J41.,Decompression of fracture of spine
7J411,Anterior decompression of fracture of spine
7J412,Posterior decompression of fracture of spine
XaMMz,Posterior decompression of fracture of spine NEC
7J410,Complex decompression of fracture of spine
7J41y,Other specified decompression of fracture of spine
7J41z,Decompression of fracture of spine NOS
XaLxr,Vertebroplasty of fracture of spine
SC01.,Late effect of fracture of spine and trunk without mention of cord lesion
XA0Dt,Fracture dislocation of cervical spine
XA0Du,Hangman's fracture
XaMpT,Balloon kyphoplasty of fracture of spine
7J421,Open reduction of fracture of spine NEC
7J42z,Other reduction of fracture of spine NOS
XaXCD,Removal of fracture fixation device from spine
