V2Codes,Description
Xa0SE,Pre B-cell acute lymphoblastic leukaemia
Xa0SF,Common acute lymphoblastic leukaemia
Xa0SG,Null cell acute lymphoblastic leukaemia
Xa0SH,T-cell acute lymphoblastic leukaemia
Xa0Sk,Acute myeloblastic leukaemia
Xa0SL,Light chain myeloma
Xa0Sl,Acute monoblastic leukaemia
Xa0SM,Heavy chain disease
Xa0Sm,Acute megakaryoblastic leukaemia
Xa0SN,Non-secretory myeloma
Xa0Sn,Acute eosinophilic leukaemia
Xa0So,Acute myelofibrosis
Xa0SP,Myeloproliferative disorder
Xa0St,"Hodgkin's disease, lymphocytic predominance - nodular"
Xa0Su,"Hodgkin's disease, lymphocytic predominance - diffuse"
Xa0SV,Juvenile chronic myeloid leukaemia
Xa0Sv,"Hodgkin's disease, nodular sclerosis - lymphocytic predominance"
Xa0Sw,"Hodgkin's disease, nodular sclerosis - mixed cellularity"
Xa0SX,Atypical chronic myeloid leukaemia
Xa0Sx,"Hodgkin's disease, nodular sclerosis - lymphocytic depletion"
Xa0SY,Myelodysplastic syndrome
Xa0Sy,B-cell lymphoma
Xa0Sz,Cutaneous/peripheral T-cell lymphoma
Xa0T0,Prethymic and thymic T-cell lymphoma/leukaemia
Xa0T1,Low grade B-cell lymphoma
Xa0T2,Diffuse low grade B-cell lymphoma
Xa0T3,High grade B-cell lymphoma
Xa0T4,Follicular low grade B-cell lymphoma
Xa0T5,B-cell prolymphocytic leukaemia
Xa0T7,Malignant lymphomatous polyposis
Xa0T8,Mucosa-associated lymphoma
Xa0T9,Monocytoid B-cell lymphoma
Xa0TA,Follicular malignant lymphoma - mixed cell type
Xa0TD,Follicular malignant lymphoma - small cleaved cell
Xa0TE,Diffuse high grade B-cell lymphoma
Xa0TF,Nodular high grade B-cell lymphoma
Xa0TG,Diffuse malignant lymphoma - large cell
Xa0TH,Diffuse malignant lymphoma - large cleaved cell
Xa0Th,Peripheral T-cell lymphoma
Xa0TI,Diffuse malignant lymphoma - large non-cleaved cell
Xa0Ti,T-zone lymphoma
Xa0Tj,Lymphoepithelioid lymphoma
Xa0Tk,Angioimmunoblastic lymphadenopathy with dysproteinaemia
Xa0TM,Diffuse malignant lymphoma - centroblastic polymorphic
Xa0To,Angiocentric T-cell lymphoma
Xa0TP,Malignant lymphoma - lymphoblastic
Xa0Tr,Peripheral T-cell lymphoma - pleomorphic small cell
Xa0TS,Large cell anaplastic lymphoma
Xa0Tt,Peripheral T-cell lymphoma - pleomorphic medium and large cell
Xa0Tu,Enteropathy-associated T-cell lymphoma
Xa0TX,Follicular malignant lymphoma - large cell
Xa0TY,Low grade T-cell lymphoma
Xa0TZ,High grade T-cell lymphoma
Xa0U5,Malignant lymphoma of testis
Xa36a,IgA myeloma
Xa36b,IgG myeloma
Xa36c,IgD myeloma
Xa3Ea,Acute myeloblastic leukaemia without maturation
Xa3Ec,Acute myeloblastic leukaemia with maturation
Xa3Ee,Acute promyelocytic leukaemia - hypogranular variant
Xa3En,Intermediate grade B-cell lymphoma
