SNOMED Code,Description
443349002,Disease activity score in rheumatoid arthritis (assessment scale)
1048281000000108,Rheumatoid Arthritis Impact of Disease questionnaire (assessment scale)
231041000000107,Delivery of rehabilitation for rheumatoid arthritis (regime/therapy)
805941000000105,Exception reporting - rheumatoid arthritis quality indicators (finding)
443539004,Disease activity score in rheumatoid arthritis using C-reactive protein (assessment scale)
805981000000102,Excepted from rheumatoid arthritis quality indicators - informed dissent (finding)
805961000000106,Excepted from rheumatoid arthritis quality indicators - patient unsuitable (finding)
764529000,Salford Rheumatoid Arthritis Foot Evaluation Instrument (assessment scale)
1048301000000109,Assessment using Rheumatoid Arthritis Impact of Disease questionnaire (procedure)
1066991000000109,Rheumatoid arthritis monitoring invitation by short message service text messaging (procedure)
1067001000000103,Rheumatoid arthritis monitoring short message service text message first invitation (procedure)
1067021000000107,Rheumatoid arthritis monitoring short message service text message third invitation (procedure)'
1067011000000101,Rheumatoid arthritis monitoring short message service text message second invitation (procedure)
764894008,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Footwear total score (observable entity)
764895009,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Disability total score (observable entity)
764901007,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Impairment total score (observable entity)
764896005,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Personal feelings domain total score (observable entity)
764897001,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Impact on career domain total score (observable entity)
764905003,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Personal adaptation domain total score (observable entity)
764900008,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Visual impact domain total score (observable entity)
764898006,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Effect on family life domain total score (observable entity)
764899003,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - External factors that affect foot symptoms domain total score (observable entity)
