V2Codes,Description
d77..,IMIPRAMINE HYDROCHLORIDE [ANTIDEPRESSANT]
d771.,IMIPRAMINE 10mg tabs
d772.,IMIPRAMINE 25mg tablets
d773.,*PRAMINIL 10mg tablets
d774.,*PRAMINIL 25mg tablets
d775.,*TOFRANIL 10mg tablets
d776.,*TOFRANIL 25mg tablets
d777.,*TOFRANIL 25mg/5mL syrup
d77w.,IMIPRAMINE HYDROCHLORIDE 25mg/5mL oral solution
d77x.,IMIPRAMINE HYDROCHLORIDE 10mg tablets
d77y.,IMIPRAMINE HYDROCHLORIDE 25mg tablets
d77z.,IMIPRAMINE HYDROCHLORIDE 25mg/5mL syrup
d79..,LOFEPRAMINE
d791.,*GAMANIL 70mg tablets x56CP
d792.,LOMONT 70mg/5mL sugar free suspension
d793.,*FEPRAPAX 70mg tablets
d794.,*GAMANIL 70mg tablets
d79y.,LOFEPRAMINE 70mg/5mL sugar free suspension
d79z.,LOFEPRAMINE 70mg tablets
d7b..,MIANSERIN HYDROCHLORIDE
d7b1.,MIANSERIN 10mg tablets
d7b2.,MIANSERIN 20mg tablets
d7b3.,MIANSERIN 30mg tablets
d7b4.,*BOLVIDON 10mg tablets
d7b5.,*BOLVIDON 20mg tablets
d7b6.,*BOLVIDON 30mg tablets
d7b7.,*NORVAL 10mg tablets
d7b8.,*NORVAL 20mg tablets
d7b9.,*NORVAL 30mg tablets
d7c..,NORTRIPTYLINE
d7c1.,*ALLEGRON 10mg tablets
d7c2.,*ALLEGRON 25mg tablets
d7c3.,*AVENTYL 10mg capsules
d7c4.,*AVENTYL 25mg capsules
d7c5.,*AVENTYL 10mg/5mL liquid
d7c6.,NORTRIPTYLINE 10mg tablets
d7c7.,*NORTRIPTYLINE 10mg/5mL liquid
d7c8.,NORTRIPTYLINE 25mg tablets
d7c9.,*NORTRIPTYLINE 10mg capsules
d7cy.,*NORTRIPTYLINE 25mg capsules
d7e..,TRAZODONE HYDROCHLORIDE
d7e1.,MOLIPAXIN 50mg capsules x84CP
d7e2.,MOLIPAXIN 100mg capsules x56CP
d7e3.,*MOLIPAXIN 50mg/5mL liquid
d7e4.,MOLIPAXIN 150mg tablets x28CP
d7e5.,TRAZODONE HYDROCHLORIDE 150mg tablets
d7e6.,MOLIPAXIN CR 150mg m/r tablets x28
d7e7.,TRAZODONE HYDROCHLORIDE 150mg m/r tablets
d7ew.,TRAZODONE HYDROCHLORIDE 100mg capsules
d7ex.,TRAZODONE HYDROCHLORIDE 50mg capsules
d7ez.,TRAZODONE HYDROCHLORIDE 50mg/5mL liquid
d7f..,TRIMIPRAMINE
d7f1.,*SURMONTIL 50mg capsules x28CP
d7f2.,*SURMONTIL 10mg tablets
d7f3.,*SURMONTIL 25mg tablets
d7fx.,TRIMIPRAMINE 50mg capsules
d7fy.,TRIMIPRAMINE 10mg tablets
d7fz.,TRIMIPRAMINE 25mg tablets
