CTV3Codes,Description
d771.,Imipramine hydrochloride 10mg tablet
d773.,Praminil 10mg tablet
d775.,Tofranil 10mg tablet
d772.,Imipramine hydrochloride 25mg tablet
d774.,Praminil 25mg tablet
d776.,Tofranil 25mg tablet
d77z.,Imipramine hydrochloride 25mg/5mL syrup
d777.,Tofranil 25mg/5mL syrup
d77..,Imipramine hydrochloride [antidepressant]
d77w.,IMIPRAMINE HYDROCHLORIDE 25mg/5mL oral solution
gd5..,Imipramine hydrochloride [enuresis - no drugs here]
x01Ay,Desipramine
d74z.,Desipramine hydrochloride 25mg tablet
d741.,Pertofran 25mg tablet
d74..,Desipramine hydrochloride
d7c..,Nortriptyline
d7c6.,Nortriptyline 10mg tablet
d7c1.,Allegron 10mg tablet
d7c8.,Nortriptyline 25mg tablet
d7c2.,Allegron 25mg tablet
d7c9.,Nortriptyline 10mg capsule
d7c3.,Aventyl 10mg capsule
d7cy.,Nortriptyline 25mg capsule
d7c4.,Aventyl 25mg capsule
d7c7.,Nortriptyline 10mg/5mL liquid
d7c5.,Aventyl 10mg/5mL liquid
gd6..,Nortriptyline hydrochloride [enuresis - no drugs here]
x01B2,Trazodone
d7ex.,Trazodone hydrochloride 50mg capsule
x00E4,Molipaxin 50mg capsule
d7e1.,Molipaxin 50mg capsules x84CP
d7ew.,Trazodone hydrochloride 100mg capsule
x00E5,Molipaxin 100mg capsule
d7e2.,Molipaxin 100mg capsules x56CP
d7e5.,Trazodone hydrochloride 150mg tablet
x00fa,Molipaxin 150mg tablet
d7e4.,Molipaxin 150mg tablets x28CP
d7e7.,Trazodone hydrochloride 150mg m/r tablet
x00fb,Molipaxin CR 150mg tablet
d7e6.,Molipaxin CR 150mg m/r tablets x28
d7ez.,Trazodone hydrochloride 50mg/5mL liquid
d7e3.,Molipaxin 50mg/5mL liquid
d7e..,Trazodone hydrochloride
x01Az,Dosulepin
d75y.,Dosulepin hydrochloride 25mg capsule
d755.,Dothapax 25mg capsule
d753.,Prepadine 25mg capsule
d751.,Prothiaden 25mg capsule
d759.,Thaden 25mg capsule
d75z.,Dosulepin hydrochloride 75mg tablet
d756.,Dothapax 75mg tablet
d754.,Prepadine 75mg tablet
d752.,Prothiaden 75mg tablet
d75A.,Thaden 75mg tablet
d757.,Dosulepin hydrochloride 25mg/5mL s/f elixir
d758.,Dosulepin hydrochloride 75mg/5mL s/f elixir
d75..,Dothiepin hydrochloride
d79..,Lofepramine
d79z.,Lofepramine 70mg tablet
d793.,Feprapax 70mg tablet
d794.,Gamanil 70mg tablet
d791.,Gamanil 70mg tablets x56CP
d79y.,Lofepramine 70mg/5mL s/f suspension
d792.,Lomont 70mg/5mL s/f suspension
d7f..,Trimipramine
d7fy.,Trimipramine 10mg tablet
d7f2.,Surmontil 10mg tablet
d7fz.,Trimipramine 25mg tablet
d7f3.,Surmontil 25mg tablet
d7fx.,Trimipramine 50mg capsule
x00ED,Surmontil 50mg capsule
d7f1.,Surmontil 50mg capsules x28CP
