CTV3Codes,Description
g819.,LESTRAMYL 30micrograms/150micrograms tablets
g81A.,ALENVONA 30micrograms/150micrograms tablets
g81B.,ALENINI 20micrograms/150micrograms tablets
g81C.,BIMIZZA 20micrograms/150micrograms tablets
g82..,Etynodiol diacetate [combined oral contraceptive]
g83E.,LEVEST tablets
g83F.,TRIREGOL tablets
g83G.,RIGEVIDON tablets
g83H.,ELEVIN tablets
g83I.,MAEXENI tablets
g83J.,ERLIBELLE tablets
g88B.,MILLINETTE 20micrograms/75micrograms tablets
g88C.,MILLINETTE 30micrograms/75micrograms tablets
g88D.,JULIPERLA 20micrograms/75micrograms tablets
g88E.,SOFIPERLA 30micrograms/75micrograms tablets
g893.,LIZINNA tablets
g8A3.,YAZ tablets
g8A4.,ETHINYLESTRADIOL+DROSPIRENONE 20micrograms/3mg tablets
g8A5.,LUCETTE tablets
g8A6.,ACONDRO 30micrograms/3mg tablets
g8A7.,CLEOSENSA 30micrograms/3mg tablets
g8A8.,ELOINE tablets
g8A9.,YACELLA 0.03mg/3mg tablets
gl...,COMBINED ORAL CONTRACEPTIVE - ESTRADIOL
gl11.,ZOELY 2.5mg/1.5mg tablets
gl12.,NOMEGESTROL ACETATE+ESTRADIOL 2.5mg/1.5mg tablets
g9...,Mestranol [combined oral contraceptive]
gk11.,QLAIRA tablets
gk...,COMBINED ORAL CONTRACEPTIVE - ESTRADIOL VALERATE
g84..,Lynoestrenol
x004G,Ethinylestradiol 20mcg+progestogen
x004I,Ethinylestradiol 35mcg+progestogen
x004J,Ethinylestradiol 50mcg+progestogen
x009K,Phased cocs -ethinylestradiol+gestodene
x009M,Phased cocs- ethinylestradiol+levonorgestrel
x009L,Phased cocs -ethinylestradiol+norethisterone-(biphasic)
fh1u.,Conjugated oestrogens 0.3mg / medroxyprogesterone acetate 1.5mg tablet
fh1v.,Premique Low Dose 0.3mg/1.5mg tablet
fh1w.,Conjugated oestrogens 0.625mg / medroxyprogesterone acetate 5mg tablet
fh1k.,Premique 0.625mg/5mg tablet
fh1x.,Drospirenone 2mg / estradiol 1mg tablet
fh1y.,Angeliq 2mg/1mg tablet
fh1R.,Estradiol+norethisterone acetate 1mg/0.5mg tablet
fh1S.,Kliovance 1mg/0.5mg tablet
fh1K.,Estradiol valerate+norethisterone 2mg/0.7mg tablet
fh1L.,Climesse tablet
fh1C.,Estradiol+norethisterone acetate 2mg/1mg tablet
fh1Q.,Elleste Duet Conti tablet
fh1t.,FemTab Continuous tablet
fh1B.,Kliofem tablet
fh1o.,Adgyn Combi 2mg tablet
fh1h.,Climagest 1mg tablet
fh1f.,Climagest tablets X1 month
fh1g.,Climagest tablets X3 months
fh1j.,Climagest 2mg tablet
fh1z.,Clinorette tablet
fh21.,Controvlar tablet
fh12.,Cyclo-Progynova 2mg tablet
fh1M.,Elleste Duet 1mg tablet
fh1H.,Elleste Duet 2mg tablet
ff2c.,Estrapak 50micrograms/1mg patch+tablet
fh1P.,Evorel Pak patch+tablet
fh1n.,Femapak 40 patch+tablet
fh1m.,Femapak 80 patch+tablet
fh1G.,Femoston 1/10 tablet
fh1E.,Femoston 2/10 tablet
fh1D.,Femoston 2/20 tablet
fh1U.,Femoston-conti tablet
fh1J.,Improvera tablet
fh1V.,Indivina 1mg/2.5mg tablet
fh1W.,Indivina 1mg/5mg tablet
fh1X.,Indivina 2mg/5mg tablet
fh14.,Mixogen tablet
fh1I.,Novofem tablet
fh1d.,Nuvelle tablet
fh1T.,Nuvelle Continuous tablet
fh1l.,Premique Cycle 10mg tablet
fh16.,Prempak 1.25 tablet
fh15.,Prempak 0.625 tablet
x00fq,Prempak-C 625micrograms tablet
fh17.,Prempak-C 0.625 tablets x1 month
fh1a.,Prempak-C 0.625 tablets x3 months
x00fr,Prempak-C 1.25mg tablet
fh18.,Prempak-C 1.25 tablets X1 month
fh1b.,Prempak-C 1.25 tablets X3 months
fh1F.,Tridestra tablet
fh19.,Trisequens tablet
fh1c.,Trisequens Forte tablet
fh11.,Cyclo-Progynova 1mg tablet
g814.,Ethinylestradiol+desogestrel 30micrograms/150micrograms tablet
